0.000000000000000000e+00;1.570796326794896558e+00;0.000000000000000000e+00;0.000000000000000000e+00
8.631969359986018039e-13;1.570786894102588871e+00;6.905575487820756715e-09;-3.773076923068363620e-02
1.381115097428790567e-11;1.570758596025666032e+00;5.524460388895735108e-08;-7.546153846031503076e-02
6.991895177078860628e-11;1.570711432564129595e+00;1.864505379302237797e-07;-1.131923076836330588e-01
2.209784151623402360e-10;1.570645403717985777e+00;4.419568294063581338e-07;-1.509230768869586625e-01
5.394980822928834221e-10;1.570560509487250345e+00;8.631969273158166812e-07;-1.886538460439860510e-01
1.118703217411405426e-09;1.570456749871956603e+00;1.491604274318917945e-06;-2.263846151115736782e-01
2.072535803362920839e-09;1.570334124872164283e+00;2.368612300958586985e-06;-2.641153840255352492e-01
3.535654533514140765e-09;1.570192634487971306e+00;3.535654417085196282e-06;-3.018461526964307806e-01
5.663434798576002407e-09;1.570032278719527774e+00;5.034163999925859920e-06;-3.395769210053573572e-01
8.631968666505312037e-09;1.569853057567051291e+00;6.905574378238537628e-06;-3.773076887997399154e-01
1.263806485338834725e-08;1.569654971030845170e+00;9.191318811992360229e-06;-4.150384558891215825e-01
1.789924868292952849e-08;1.569438019111318194e+00;1.193283046701457405e-05;-4.527692220409540447e-01
2.465376203188873956e-08;1.569202201809006603e+00;1.517154238404484355e-05;-4.904999869763871367e-01
3.316056325853117574e-08;1.568947519124598955e+00;1.894888744163786116e-05;-5.282307503660578218e-01
4.369932711087386797e-08;1.568673971058961669e+00;2.330629831235433142e-05;-5.659615118258787270e-01
5.657044461123349895e-08;1.568381557613168109e+00;2.828520741168169945e-05;-6.036922709128255127e-01
7.209502291330039628e-08;1.568070278788528338e+00;3.392704683912525239e-05;-6.414230271207227441e-01
9.061488512768416929e-08;1.567740134586622425e+00;4.027324831091004054e-05;-6.791537798760288736e-01
1.124925701115963679e-07;1.567391125009334862e+00;4.736524308373406820e-05;-7.168845285336188367e-01
1.381113322180562163e-07;1.567023250058891426e+00;5.524446186901401062e-05;-7.546152723725647604e-01
1.678751409997256090e-07;1.566636509737898253e+00;6.395233473706337182e-05;-7.923460105919141183e-01
2.022086808621999042e-07;1.566230904049382922e+00;7.353029101064424808e-05;-8.300767423064645545e-01
2.415573506613012497e-07;1.565806432996837527e+00;8.401975914733230029e-05;-8.678074665425355994e-01
2.863872632386413519e-07;1.565363096584263980e+00;9.546216661013683514e-05;-9.055381822337358333e-01
3.371852448894412100e-07;1.564900894816221300e+00;1.078989397258148258e-04;-9.432688882167257205e-01
3.944588347563151945e-07;1.564419827697875354e+00;1.213715035303205349e-04;-9.809995832269748917e-01
4.587362841424466527e-07;1.563919895235050594e+00;1.359212816008299773e-04;-1.018730265894513209e+00
5.305665557373032859e-07;1.563401097434283793e+00;1.515896958737808411e-04;-1.056460934739675173e+00
6.105193227477593284e-07;1.562863434302879551e+00;1.684181664483680137e-04;-1.094191588168836216e+00
6.991849679272130958e-07;1.562306905848968697e+00;1.864481113749346124e-04;-1.131922224470140792e+00
7.971745824950072013e-07;1.561731512081568907e+00;2.057209464276982583e-04;-1.169652841809220467e+00
9.051199649381782679e-07;1.561137253010645987e+00;2.262780848612519274e-04;-1.207383438224900907e+00
1.023673619687285239e-06;1.560524128647179154e+00;2.481609371502801575e-04;-1.245114011624897543e+00
1.153508755657781376e-06;1.559892139003227429e+00;2.714109107119282659e-04;-1.282844559781497917e+00
1.295319284648118884e-06;1.559241284091998470e+00;2.960694096102652354e-04;-1.320575080327229145e+00
1.449819819585490005e-06;1.558571563927919623e+00;3.221778342422780572e-04;-1.358305570750510061e+00
1.617745672609831813e-06;1.557882978526710760e+00;3.497775810048372406e-04;-1.396036028391285599e+00
1.799852852986439942e-06;1.557175527905459766e+00;3.789100419420716580e-04;-1.433766450436642526e+00
1.996918064837254993e-06;1.556449212082700484e+00;4.096166043725905643e-04;-1.471496833916404512e+00
2.209738704680604099e-06;1.555704031078491756e+00;4.419386504959906870e-04;-1.509227175698704793e+00
2.439132858768900135e-06;1.554939984914499806e+00;4.759175569780873128e-04;-1.546957472485534169e+00
2.685939300213520731e-06;1.554157073614082396e+00;5.115946945143045547e-04;-1.584687720808263922e+00
2.951017485885805457e-06;1.553355297202374974e+00;5.490114273706634546e-04;-1.622417917023138978e+00
3.235247553082827520e-06;1.552534655706379940e+00;5.882091129018033769e-04;-1.660148057306742642e+00
3.539530315946317612e-06;1.551695149155056797e+00;6.292291010454730167e-04;-1.697878137651426256e+00
3.864787261622834434e-06;1.550836777579416292e+00;6.721127337929269120e-04;-1.735608153860705771e+00
4.211960546152990561e-06;1.549959541012615460e+00;7.169013446346615605e-04;-1.773338101544619461e+00
